Using field units, Initial reservoir pressure [psi]: ,0,,,,,,,,
,Well_1A,Well_10A,Well_11A,Well_3A,Well_5A,Well_6A,Well_7A,Well_9A,Well_2A,Well_4A
Time,,,,,,,,,,
hours,,,,,,,,,,
0,,,,,,,,,,
13.75175587,,,,,,,,,,
13.75204829,,,,,,,,,,
13.84067476,,,,,,,,,,
13.92247218,,,,,,,,,,
13.92277479,,,,,,,,,,
14.00608087,,,,,,,,,,
14.00638254,,,,,,,,,,
14.09331987,,,,,,,,,,
14.17469427,,,,,,,,,,
14.17494954,,,,,,,,,,
14.25107875,,,,,,,,,,
14.33572285,,,,,,,,,,
14.41321009,,,,,,,,,,
14.49242133,,,,,,,,,,
14.49268095,,,,,,,,,,
14.57281568,,,,,,,,,,
14.66263395,,,,,,,,,,
14.75336412,,,,,,,,,,
14.84258535,,,,,,,,,,
14.84286183,,,,,,,,,,
14.93324516,,,,,,,,,,
15.01693102,,,,,,,,,,
15.09664975,,,,,,,,,,
15.17658991,,,,,,,,,,
15.26571512,,,,,,,,,,
15.2660156,,,,,,,,,,
15.34405426,,,,,,,,,,
15.34435978,,,,,,,,,,
15.42462002,,,,,,,,,,
15.50533636,,,,,,,,,,
15.59476238,,,,,,,,,,
15.6752428,,,,,,,,,,
15.75738841,,,,,,,,,,
15.84892674,,,,,,,,,,
15.92458281,,,,,,,,,,
16.00067021,,,,,,,,,,
16.07671782,,,,,,,,,,
16.15773447,,,,,,,,,,
16.24392474,,,,,,,,,,
16.32042545,,,,,,,,,,
16.40020442,,,,,,,,,,
16.47824015,,,,,,,,,,
16.55392232,,,,,,,,,,
16.64307874,,,,,,,,,,
16.73137677,,,,,,,,,,
16.73166333,,,,,,,,,,
16.82191256,,,,,,,,,,
16.90302178,,,,,,,,,,
16.97992041,,,,,,,,,,
17.05851858,,,,,,,,,,
17.05878049,,,,,,,,,,
17.14783898,,,,,,,,,,
17.23463984,,,,,,,,,,
17.32408332,,,,,,,,,,
17.40010241,,,,,,,,,,
17.47852761,,,,,,,,,,
17.56300819,,,,,,,,,,
17.64819792,,,,,,,,,,
17.73956416,,,,,,,,,,
17.82257034,,,,,,,,,,
17.91420817,,,,,,,,,,
18.00559257,,,,,,,,,,
18.00589048,,,,,,,,,,
18.08666726,,,,,,,,,,
18.16824998,,,,,,,,,,
18.25902984,,,,,,,,,,
18.34067981,,,,,,,,,,
18.34098166,,,,,,,,,,
18.42693909,,,,,,,,,,
18.42719787,,,,,,,,,,
18.5172827,,,,,,,,,,
18.60647518,,,,,,,,,,
18.68846972,,,,,,,,,,
18.77754431,,,,,,,,,,
18.86781149,,,,,,,,,,
18.94685061,,,,,,,,,,
19.03582832,,,,,,,,,,
19.11491509,,,,,,,,,,
19.20387086,,,,,,,,,,
19.20413087,,,,,,,,,,
19.29142348,,,,,,,,,,
19.29170502,,,,,,,,,,
19.36826916,,,,,,,,,,
19.36855369,,,,,,,,,,
19.45164154,,,,,,,,,,
19.45215493,,,,,,,,,,
19.53781921,,,,,,,,,,
19.53810862,,,,,,,,,,
19.62204865,,,,,,,,,,
19.62234951,,,,,,,,,,
19.70838484,,,,,,,,,,
19.79289412,,,,,,,,,,
19.88222197,,,,,,,,,,
19.96382737,,,,,,,,,,
20.04844924,,,,,,,,,,
20.12718483,,,,,,,,,,
20.21755574,,,,,,,,,,
20.30527639,,,,,,,,,,
20.39254885,,,,,,,,,,
20.47742117,,,,,,,,,,
20.55308972,,,,,,,,,,
20.62894323,,,,,,,,,,
20.7086926,,,,,,,,,,
20.79123364,,,,,,,,,,
20.88266783,,,,,,,,,,
20.95982998,,,,,,,,,,
21.04486201,,,,,,,,,,
21.13052748,,,,,,,,,,
21.13080031,,,,,,,,,,
21.22164623,,,,,,,,,,
21.30410493,,,,,,,,,,
21.3044092,,,,,,,,,,
21.38350088,,,,,,,,,,
21.38377327,,,,,,,,,,
21.46957983,,,,,,,,,,
21.54732675,,,,,,,,,,
21.63096475,,,,,,,,,,
21.70598115,,,,,,,,,,
21.79674777,,,,,,,,,,
21.88703327,,,,,,,,,,
21.96760274,,,,,,,,,,
22.05104474,,,,,,,,,,
22.13401866,,,,,,,,,,
22.21614731,,,,,,,,,,
22.29120706,,,,,,,,,,
22.37691871,,,,,,,,,,
22.46186404,,,,,,,,,,
22.46239229,,,,,,,,,,
22.54483787,,,,,,,,,,
22.63155954,,,,,,,,,,
22.63185208,,,,,,,,,,
22.7186126,,,,,,,,,,
22.71891802,,,,,,,,,,
22.79408074,,,,,,,,,,
22.88229868,,,,,,,,,,
22.96836383,,,,,,,,,,
23.05551917,,,,,,,,,,
23.13646536,,,,,,,,,,
23.22707257,,,,,,,,,,
23.31837854,,,,,,,,,,
23.40397491,,,,,,,,,,
23.48884438,,,,,,,,,,
23.5650021,,,,,,,,,,
23.6480933,,,,,,,,,,
23.72639022,,,,,,,,,,
23.80697353,,,,,,,,,,
23.88453071,,,,,,,,,,
23.9752012,,,,,,,,,,
23.97545559,,,,,,,,,,
24.05219369,,,,,,,,,,
24.14262019,,,,,,,,,,
24.23192996,,,,,,,,,,
24.31861667,,,,,,,,,,
24.40531283,,,,,,,,,,
24.4855346,,,,,,,,,,
24.48582568,,,,,,,,,,
24.57098908,,,,,,,,,,
24.571256,,,,,,,,,,
24.57151465,,,,,,,,,,
24.6516519,,,,,,,,,,
24.65190664,,,,,,,,,,
24.72675473,,,,,,,,,,
24.81005489,,,,,,,,,,
24.89251402,,,,,,,,,,
24.97465587,,,,,,,,,,
25.06576226,,,,,,,,,,
25.06602124,,,,,,,,,,
25.14830703,,,,,,,,,,
25.14860736,,,,,,,,,,
25.2333662,,,,,,,,,,
25.3120383,,,,,,,,,,
25.40014536,,,,,,,,,,
25.48600543,,,,,,,,,,
25.56721567,,,,,,,,,,
25.65327271,,,,,,,,,,
25.65354104,,,,,,,,,,
25.73287153,,,,,,,,,,
25.81816995,,,,,,,,,,
25.90316094,,,,,,,,,,
25.90344677,,,,,,,,,,
25.99078758,,,,,,,,,,
25.99104325,,,,,,,,,,
26.06635444,,,,,,,,,,
26.06663275,,,,,,,,,,
26.15718116,,,,,,,,,,
26.23309038,,,,,,,,,,
26.31809812,,,,,,,,,,
26.40404944,,,,,,,,,,
26.48339335,,,,,,,,,,
26.55870794,,,,,,,,,,
26.64042827,,,,,,,,,,
26.71789607,,,,,,,,,,
26.79773291,,,,,,,,,,
26.88291456,,,,,,,,,,
26.96910121,,,,,,,,,,
27.05831977,,,,,,,,,,
27.14272466,,,,,,,,,,
27.2214108,,,,,,,,,,
27.30174059,,,,,,,,,,
27.37792683,,,,,,,,,,
27.37822691,,,,,,,,,,
27.46829882,,,,,,,,,,
27.55061432,,,,,,,,,,
27.62674767,,,,,,,,,,
27.6270516,,,,,,,,,,
27.70902501,,,,,,,,,,
27.70932683,,,,,,,,,,
27.79035585,,,,,,,,,,
27.79065467,,,,,,,,,,
27.88160206,,,,,,,,,,
27.95860346,,,,,,,,,,
28.04132705,,,,,,,,,,
28.12921057,,,,,,,,,,
28.2043432,,,,,,,,,,
28.2938566,,,,,,,,,,
28.38122734,,,,,,,,,,
28.45755025,,,,,,,,,,
28.54675424,,,,,,,,,,
28.62997668,,,,,,,,,,
28.71921309,,,,,,,,,,
28.80628675,,,,,,,,,,
28.89271529,,,,,,,,,,
28.98062414,,,,,,,,,,
29.06585844,,,,,,,,,,
29.0661185,,,,,,,,,,
29.15495294,,,,,,,,,,
29.15521381,,,,,,,,,,
29.23388195,,,,,,,,,,
29.23417052,,,,,,,,,,
29.30980451,,,,,,,,,,
29.31005562,,,,,,,,,,
29.39794122,,,,,,,,,,
29.39822159,,,,,,,,,,
29.47629631,,,,,,,,,,
29.56174077,,,,,,,,,,
29.63733766,,,,,,,,,,
29.71952639,,,,,,,,,,
29.80952288,,,,,,,,,,
29.89827245,,,,,,,,,,
29.98068619,,,,,,,,,,
30.05686769,,,,,,,,,,
30.13505412,,,,,,,,,,
30.13534048,,,,,,,,,,
30.21781403,,,,,,,,,,
30.30497666,,,,,,,,,,
30.38013934,,,,,,,,,,
30.38043724,,,,,,,,,,
30.45531685,,,,,,,,,,
30.54659915,,,,,,,,,,
30.63178507,,,,,,,,,,
30.63207284,,,,,,,,,,
30.70737817,,,,,,,,,,
30.78946513,,,,,,,,,,
30.78975227,,,,,,,,,,
30.87640338,,,,,,,,,,
30.87670821,,,,,,,,,,
30.95948023,,,,,,,,,,
30.9597547,,,,,,,,,,
31.03644737,,,,,,,,,,
31.11602959,,,,,,,,,,
31.19308127,,,,,,,,,,
31.28049026,,,,,,,,,,
31.36817727,,,,,,,,,,
31.45155209,,,,,,,,,,
31.53669371,,,,,,,,,,
31.62120671,,,,,,,,,,
31.70245269,,,,,,,,,,
31.78687042,,,,,,,,,,
31.87705682,,,,,,,,,,
